asv_id	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV16079	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16079
ASV16080	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16080
ASV16081	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	ASV16081
ASV16082	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16082
ASV16083	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16083
ASV16084	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	f_Clavariaceae	ASV16084
ASV16085	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae	ASV16085
ASV16086	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16086
ASV16087	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16087
ASV16088	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	ASV16088
ASV16089	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16089
ASV16090	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	ASV16090
ASV16091	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16091
ASV16092	Fungi	Chytridiomycota	p_Chytridiomycota	p_Chytridiomycota	p_Chytridiomycota	p_Chytridiomycota	ASV16092
ASV16093	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Hydropus	ASV16093
ASV16094	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16094
ASV16095	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV16095
ASV16096	Fungi	Basidiomycota	Agaricomycetes	Agaricales	o_Agaricales	o_Agaricales	ASV16096
ASV16097	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16097
ASV16098	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Vertexicola	ASV16098
ASV16099	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudochaetosphaeronema	ASV16099
ASV16100	Fungi	Basidiomycota	Agaricomycetes	Tremellodendropsidales	o_Tremellodendropsidales	o_Tremellodendropsidales	ASV16100
ASV16101	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16101
ASV16102	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16102
ASV16103	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16103
ASV16104	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae	ASV16104
ASV16105	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16105
ASV16106	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV16106
ASV16107	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV16107
ASV16108	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16108
ASV16109	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16109
ASV16110	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16110
ASV16111	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	ASV16111
ASV16112	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	ASV16112
ASV16113	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16113
ASV16114	Fungi	Chytridiomycota	p_Chytridiomycota	p_Chytridiomycota	p_Chytridiomycota	p_Chytridiomycota	ASV16114
ASV16115	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16115
ASV16116	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16116
ASV16117	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	o_Saccharomycetales	o_Saccharomycetales	ASV16117
ASV16118	Fungi	Ascomycota	Sordariomycetes	Sordariales	o_Sordariales	o_Sordariales	ASV16118
ASV16119	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16119
ASV16120	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16120
ASV16121	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16121
ASV16122	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	ASV16122
ASV16123	Fungi	Basidiomycota	Agaricomycetes	Agaricales	o_Agaricales	o_Agaricales	ASV16123
ASV16124	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	ASV16124
ASV16125	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16125
ASV16126	Fungi	Basidiomycota	Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	ASV16126
ASV16127	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16127
ASV16128	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	ASV16128
ASV16129	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Candelabrum	ASV16129
ASV16130	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16130
ASV16131	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Sirobasidiaceae	Sirobasidium	ASV16131
ASV16132	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	ASV16132
ASV16133	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16133
ASV16134	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae	ASV16134
ASV16135	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Simocybe	ASV16135
ASV16136	Fungi	Ascomycota	Sordariomycetes	Xylariales	o_Xylariales	o_Xylariales	ASV16136
ASV16137	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16137
ASV16138	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16138
ASV16139	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	ASV16139
ASV16140	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Camarophyllopsis	ASV16140
ASV16141	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Pseudolophiostoma	ASV16141
ASV16142	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16142
ASV16143	Fungi	Ascomycota	Dothideomycetes	Capnodiales	o_Capnodiales	o_Capnodiales	ASV16143
ASV16144	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16144
ASV16145	Fungi	Kickxellomycota	GS19	GS19	o_GS19	o_GS19	ASV16145
ASV16146	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	f_Sebacinaceae	ASV16146
ASV16147	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16147
ASV16148	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16148
ASV16149	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16149
ASV16150	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16150
ASV16151	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16151
ASV16152	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16152
ASV16153	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV16153
ASV16154	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV16154
ASV16155	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16155
ASV16156	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16156
ASV16157	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16157
ASV16158	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	f_Tricholomataceae	ASV16158
ASV16159	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16159
ASV16160	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16160
ASV16161	Fungi	Ascomycota	Dothideomycetes	Capnodiales	o_Capnodiales	o_Capnodiales	ASV16161
ASV16162	Fungi	Glomeromycota	Glomeromycetes	Glomerales	o_Glomerales	o_Glomerales	ASV16162
ASV16163	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Grammothele	ASV16163
ASV16164	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16164
ASV16165	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16165
ASV16166	Fungi	Basidiomycota	Agaricomycetes	Russulales	o_Russulales	o_Russulales	ASV16166
ASV16167	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16167
ASV16168	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16168
ASV16169	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16169
ASV16170	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16170
ASV16171	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	o_Sebacinales	o_Sebacinales	ASV16171
ASV16172	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16172
ASV16173	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	ASV16173
ASV16174	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16174
ASV16175	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16175
ASV16176	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16176
ASV16177	Fungi	Ascomycota	Eurotiomycetes	Sclerococcales	Sclerococcales_fam_Incertae_sedis	Fusichalara	ASV16177
ASV16178	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	f_Nectriaceae	ASV16178
ASV16179	Fungi	Ascomycota	Dothideomycetes	Capnodiales	o_Capnodiales	o_Capnodiales	ASV16179
ASV16180	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Tremellochaete	ASV16180
ASV16181	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	f_Lasiosphaeriaceae	ASV16181
ASV16182	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16182
ASV16183	Fungi	Ascomycota	Dothideomycetes	Capnodiales	o_Capnodiales	o_Capnodiales	ASV16183
ASV16184	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	f_Exidiaceae	ASV16184
ASV16185	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	ASV16185
ASV16186	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16186
ASV16187	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	ASV16187
ASV16188	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	o_Diversisporales	o_Diversisporales	ASV16188
ASV16189	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	o_Saccharomycetales	o_Saccharomycetales	ASV16189
ASV16190	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	f_Agaricaceae	ASV16190
ASV16191	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	f_Exidiaceae	ASV16191
ASV16192	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16192
ASV16193	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycenella	ASV16193
ASV16194	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	f_Mycosphaerellaceae	ASV16194
ASV16195	Fungi	Basidiomycota	Agaricomycetes	Agaricales	o_Agaricales	o_Agaricales	ASV16195
ASV16196	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	ASV16196
ASV16197	Fungi	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Dactylospora	ASV16197
ASV16198	Fungi	Basidiomycota	Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	c_Agaricomycetes	ASV16198
ASV16199	Fungi	Basidiomycota	p_Basidiomycota	p_Basidiomycota	p_Basidiomycota	p_Basidiomycota	ASV16199
ASV16200	Fungi	Ascomycota	Dothideomycetes	c_Dothideomycetes	c_Dothideomycetes	c_Dothideomycetes	ASV16200
ASV16201	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16201
ASV16202	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	f_Herpotrichiellaceae	ASV16202
ASV16203	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16203
ASV16204	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16204
ASV16205	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16205
