sample_id,LOC,SITE,TRAN,YEAR,AGE,TREAT,total_reads,total_asvs,coverage
PG_S17_T228_Y1_OLD_NP,PG,S17,T228,Y1,OLD,NP,70525,1995,high (25-100k)
PG_S17_T228_Y4_OLD_NP,PG,S17,T228,Y4,OLD,NP,146170,2922,extra_high (> 100k)
PG_S17_T229_Y0_OLD_P,PG,S17,T229,Y0,OLD,P,131624,1611,extra_high (> 100k)
PG_S17_T229_Y1_OLD_P,PG,S17,T229,Y1,OLD,P,93842,2282,high (25-100k)
PG_S17_T229_Y4_OLD_P,PG,S17,T229,Y4,OLD,P,154243,2988,extra_high (> 100k)
PG_S66_T132_Y0_YNG_CTL,PG,S66,T132,Y0,YNG,CTL,178086,1621,extra_high (> 100k)
PG_S66_T132_Y4_YNG_CTL,PG,S66,T132,Y4,YNG,CTL,147990,2833,extra_high (> 100k)
PG_S66_T233_Y0_YNG_NP,PG,S66,T233,Y0,YNG,NP,106688,1510,extra_high (> 100k)
PG_S66_T233_Y1_YNG_NP,PG,S66,T233,Y1,YNG,NP,69618,1682,high (25-100k)
PG_S66_T233_Y4_YNG_NP,PG,S66,T233,Y4,YNG,NP,105033,2235,extra_high (> 100k)
PG_S66_T234_Y1_YNG_N,PG,S66,T234,Y1,YNG,N,116200,2530,extra_high (> 100k)
PG_S66_T234_Y4_YNG_N,PG,S66,T234,Y4,YNG,N,131415,2536,extra_high (> 100k)
PG_S66_T235_Y0_YNG_P,PG,S66,T235,Y0,YNG,P,107166,1451,extra_high (> 100k)
PG_S66_T235_Y4_YNG_P,PG,S66,T235,Y4,YNG,P,157294,2321,extra_high (> 100k)
PG_S71_T236_Y0_NEW_NP,PG,S71,T236,Y0,NEW,NP,120143,1264,extra_high (> 100k)
PG_S71_T236_Y1_NEW_NP,PG,S71,T236,Y1,NEW,NP,124408,1724,extra_high (> 100k)
PG_S71_T236_Y4_NEW_NP,PG,S71,T236,Y4,NEW,NP,138575,1992,extra_high (> 100k)
PG_S71_T237_Y0_NEW_N,PG,S71,T237,Y0,NEW,N,123042,1546,extra_high (> 100k)
PG_S71_T237_Y1_NEW_N,PG,S71,T237,Y1,NEW,N,112149,2021,extra_high (> 100k)
PG_S71_T237_Y4_NEW_N,PG,S71,T237,Y4,NEW,N,111527,1850,extra_high (> 100k)
PG_S71_T238_Y0_NEW_CTL,PG,S71,T238,Y0,NEW,CTL,144865,1621,extra_high (> 100k)
PG_S71_T238_Y1_NEW_CTL,PG,S71,T238,Y1,NEW,CTL,100803,2114,extra_high (> 100k)
